0.4930237462377133,0.6873461943324287;0.6617664733873583,0.24621274126047943;0.792674552693327,0.614310197448938;0.3686457555663758,0.5563974563964423;
0.6554272374837428,0.055722896580116865;0.3793047073670337,0.7981946103334701;0.6437142661714627,0.6084215889065824;0.2293663664672979,0.4564918368470696;
0.7516147908821963,0.017315257528298766;0.21642014836048673,0.7839006426967083;0.5914336597011874,0.6393066958066567;0.9754254877963118,0.456903322757119;
0.8213962068103036,0.9504433475774852;0.24675240581502977,0.790551719278533;0.46485838718823835,0.021518663386921655;0.38535819682663985,0.6515294421700297;
0.6104459793852026,0.2529908658934571;0.44093851467427714,0.7737122903931583;0.1318317969979399,0.5883158221934313;0.26151674979575656,0.0514798368278202;
0.8471585520561485,0.5418745842957219;0.1733864232689698,0.7276047666249914;0.3878251267315894,0.05092491188508186;0.49382869234492377,0.462896279202202;
0.9790022149227479,0.6275837963411048;0.6021078329091655,0.29541513550981624;0.1172687480318606,0.8527119026880969;0.7712243214702832,0.5167540190123064;
0.7556828287486836,0.9228053911945981;0.402151054020493,0.7210345206062396;0.5389457776983174,0.3635024751501579;0.6353323679088899,0.6866441889550343;
0.29712918628664486,0.7946125233825743;0.3877926261172201,0.3237716807477172;0.17759984014967345,0.5366139147057897;0.9219846970993697,0.7305555027260615;
0.010099615901472014,0.9355275280434168;0.13665829264744522,0.9861583699697523;0.8879850661768378,0.8850069158364404;0.882669339081065,0.2905392502220455;
0.7015163438766095,0.20462057450844906;0.9636749858734963,0.2466192008603466;0.26978405959218477,0.47494495070086173;0.4235079893636595,0.2202930579924922;
0.5183361302805121,0.3923822913333104;0.25380323800498883,0.9114820279958422;0.2560462354126555,0.9089426297790384;0.3200116141116909,0.854401715291096;
0.7366884523897366,0.11867851299903764;0.6746292516689124,0.8259403750007597;0.7042918937352836,0.1964091636603441;0.9529652566978806,0.8435386054752272;
0.7101346141447741,0.9692708811547857;0.26603417796799744,0.7250759510926077;0.28856184218147873,0.9394795301620571;0.27252446492242266,0.6036123891304847;
0.8063294626329595,0.3960204195667377;0.7529697957265226,0.16212860705948573;0.7004053897480059,0.7392800196321203;0.11047113312920853,0.10405801770347123;
0.5670669792538947,0.23079285554640816;0.5151887804304874,0.6691994559605635;0.3252708906004502,0.6424566342534218;0.21725052962764213,0.2320825620360949;
0.4416835044979529,0.6598414690689038;0.13362494403802505,0.2699423067593816;0.9622055015470408,0.15587641818545528;0.26188572523482245,0.5028313740366475;
0.5149223312855397,0.6154117738190563;0.0947784492009821,0.054067741055430774;0.5022284794224432,0.08739031626575766;0.2863888147296173,0.6417049072834284;
0.6292262688064689,0.6436547483023609;0.9019164436629667,0.47910792859113127;0.6520869779546213,0.16287754429665224;0.7484933854988874,0.14896052054828668;
0.26581796359629384,0.7461519528303171;0.7136764288553515,0.525994213804544;0.7914367053970313,0.05798782118464196;0.15616316231866145,0.018741333585983067;
0.5488794449359591,0.9666659336963517;0.0946030319736223,0.29032480202969735;0.3094698397527832,0.17775011707528499;0.6485679370692699,0.2547650101806255;
0.9648521804086917,0.02805605588058868;0.24853770672348163,0.6780845475816243;0.8145998567198884,0.6411810972484924;0.2773475300418954,0.42396093668552504;
0.1818841463936618,0.6397556999202854;0.9260844210648067,0.5970155082927897;0.9217182310152725,0.8014409108199988;0.3892563181765739,0.5869219141624766;
0.649052240091466,0.9173967103192436;0.9277744784714776,0.6558262105160876;0.5478019721385113,0.058266853648275;0.7614718405672093,0.2888327030646426;
0.6990506923499289,0.7300204445779658;0.875028648418352,0.5778355824252314;0.554007403246778,0.47519671333669;0.8240766272765245,0.6899206216159585;
0.23753281849646968,0.6397349329753748;0.04257566121217615,0.6590393865615725;0.15284630444553526,0.5218964406861143;0.8019668815121925,0.9645298920273944;
0.34677438080534173,0.2011857084702957;0.006688362970068251,0.8225525784008305;0.7776443974758517,0.15897518135965327;0.4378611975678103,0.4741878155751249;
0.44225019306419533,0.713859898966185;0.907133416620605,0.5849126934158364;0.02697284122284882,0.07839513500082729;0.07645696888745757,0.33961611731995645;
0.017227595253033634,0.04094730510732403;0.9851777947781727,0.017150630470817108;0.9563800855416222,0.3774173854443137;0.9802823004937559,0.8499676651450409;
0.790396427592236,0.3061286098514412;0.671914070753941,0.6736814337462451;0.8495940140647499,0.988015509232855;0.7449646862865131,0.8435096903200229;
0.043676579751104394,0.7207305786457888;0.3210556982778515,0.6429380563467267;0.9451756133867757,0.3524477925178977;0.2194705105722614,0.6040317974391178;
0.4107726880486131,0.13971255114808256;0.34807137005658706,0.9675688680954755;0.14585489722110445,0.15808861606209734;0.28461759819645593,0.20493835889791667;
0.18040202802351224,0.42485309721906483;0.7437906510982074,0.16730432776055326;0.03079560079771393,0.5642921493117445;0.19131003593734985,0.6363500403501196;
0.1774839905387312,0.2149648934332412;0.7577869041897938,0.4431492983313856;0.8760566945428534,0.3003629455954214;0.3388744155543303,0.7555062185802129;
0.9127002402971872,0.5566318179707754;0.4922052483063535,0.7563385837036034;0.9436100213050503,0.6699187764276707;0.901978162223639,0.025514393199885133;
0.9489424066440045,0.5101487913592004;0.12068212880962326,0.7739652103781479;0.6551116225660047,0.4243372531536903;0.045767771801977886,0.8755728961773865;
0.21717044925073237,0.8216191189911406;0.05903701749723256,0.6473354072890185;0.32042903201188466,0.6932498364969235;0.7004008891101091,0.7147390380625879;
0.8693832930715271,0.7051285883117198;0.6881131674094904,0.894674116164398;0.1984792363766753,0.32991487348569226;0.3416602971404169,0.9613118709681043;
0.6771265927127699,0.5584852094023811;0.5176149425191962,0.11303949881405662;0.44788898763745055,0.9517920011068728;0.7956894604003529,0.5277903319708706;
0.332104298876994,0.4736492075442248;0.39679955871925765,0.7026453526561689;0.5482618466725064,0.058463924031409875;0.985696914770553,0.089116951372461;
0.9818781284151299,0.14490661068258082;0.48961532728108514,0.20473048462480814;0.6745352414213901,0.20890421956938876;0.7237589322534137,0.2931070073147669;
0.7500522037883678,0.9927228714476624;0.07222101859021679,0.39001773477393964;0.2980309698905391,0.19439966084986937;7.16013247102909E-5,0.006484647141327793;
0.9564451336742772,0.22159266761580998;0.1963656499849069,0.946542268446354;0.20757390358538752,0.13263755463655902;0.7054188738315114,0.4169502269818389;
0.8010697065450597,0.9615124585648368;0.16198478987838993,0.4267016249950044;0.4778297204223789,0.15711194063590372;0.4896482605713506,0.7273010687369033;
0.23009783694101082,0.7145343351683677;0.9743047469411129,0.6576962698106071;0.013119362953020408,0.5528519425890512;0.22414413360278118,0.3892499263812461;
0.7341722955967269,0.7474167145843668;0.1723726910756006,0.651391085900218;0.3764655747392953,0.9941856016623951;0.05716443412539063,0.7252340276301329;
0.29142743462290166,0.42140020917866705;0.8944390745420515,0.22697716559561842;0.6291368790702474,0.013740499657425853;0.7314914366059315,0.7408577949945012;
0.059724775500183735,0.9548600262229854;0.9605962475349922,0.6656758109993158;0.36996521966348217,0.6350573848889695;0.2789928550325398,0.8663402742044245;
0.4690841282810245,0.685256709109227;0.8096595077208742,0.8763313759160613;0.1568395040970061,0.6595936364592133;0.3393534752932992,0.03439624488406223;
0.26078755252546393,0.8785678742406728;0.2812527230344414,0.5341717979706796;0.6189846472088418,0.9960660205862168;0.8647100220147198,0.9649147575604858;
0.12108128752609792,0.13105276029428803;0.8751792368475261,0.9913309161114635;0.13685321440505205,0.6181408811076428;0.3505746188106418,0.42023403674827;
